,logFC,logCPM,LR,PValue,FDR,gene_name,gene_type
ENSG00000000003,0.341868359,5.634896016,0.390344156,0.532118554,0.715965654,TSPAN6,protein_coding
ENSG00000000005,-3.393724068,-3.514183799,2.697006164,0.100536874,0.283917266,TNMD,protein_coding
ENSG00000000419,0.450970935,5.451477617,1.102888723,0.293633023,0.50996824,DPM1,protein_coding
ENSG00000000457,0.626493349,3.511674389,2.180713114,0.139749696,0.33963588,SCYL3,protein_coding
ENSG00000000460,2.692772317,3.463943859,17.85050782,2.389554918211e-05,0.000530585,C1orf112,protein_coding
ENSG00000000938,-0.985087756,2.399169443,2.28348452,0.130757807,0.326899832,FGR,protein_coding
ENSG00000000971,0.634755407,8.708625074,0.399501617,0.527346755,0.712230775,CFH,protein_coding
ENSG00000001036,0.481116806,5.501793457,0.957758362,0.327752304,0.543702232,FUCA2,protein_coding
ENSG00000001084,1.87116119,6.00786764,4.159022784,0.041413291,0.1691494,GCLC,protein_coding
ENSG00000001167,0.835426921,5.11365353,3.146219031,0.076103114,0.242905975,NFYA,protein_coding
ENSG00000001460,0.486993394,4.380957141,0.778110507,0.377719638,0.591324993,STPG1,protein_coding
ENSG00000001461,0.556605495,5.805567508,1.320278026,0.25054216,0.464207919,NIPAL3,protein_coding
ENSG00000001497,0.760170978,5.989735363,1.831310241,0.175972865,0.38253294,LAS1L,protein_coding
ENSG00000001561,-0.219668201,5.876612922,0.048893444,0.825000073,0.908841784,ENPP4,protein_coding
ENSG00000001617,2.021757289,5.849415605,8.274140332,0.00402137,0.034393598,SEMA3F,protein_coding
ENSG00000001626,-1.083532423,3.32186041,0.404322316,0.524865433,0.710470825,CFTR,protein_coding
ENSG00000001629,0.862238741,5.474281201,3.229966517,0.072302167,0.235690962,ANKIB1,protein_coding
ENSG00000001630,2.064067313,0.825288984,4.143867321,0.041785602,0.170111645,CYP51A1,protein_coding
ENSG00000001631,0.265239832,5.326518564,0.33321484,0.563772178,0.741085094,KRIT1,protein_coding
ENSG00000002016,-0.293940326,2.729479724,0.509112109,0.47552347,0.673441091,RAD52,protein_coding
ENSG00000002079,2.31450492,-1.329046698,2.532953097,0.111491384,0.299553952,MYH16,transcribed_unitary_pseudogene
ENSG00000002330,0.151578073,2.226229468,0.06742876,0.795117963,0.891279851,BAD,protein_coding
ENSG00000002549,0.877289893,7.090468193,1.967376391,0.160726619,0.365215436,LAP3,protein_coding
ENSG00000002586,-1.127061391,7.980134609,4.70395174,0.030093349,0.138999812,CD99,protein_coding
ENSG00000002587,-0.231040412,4.563845216,0.088637829,0.765916069,0.873445948,HS3ST1,protein_coding
ENSG00000002726,-0.815530572,2.897253007,0.382052824,0.536506642,0.718950227,AOC1,protein_coding
ENSG00000002745,2.104235752,-0.984142472,2.557772041,0.109753158,0.297175648,WNT16,protein_coding
ENSG00000002746,2.400132365,0.029275042,4.561795276,0.032692786,0.146035692,HECW1,protein_coding
ENSG00000002822,1.177788159,-1.575328785,1.387229307,0.238873561,0.451731061,MAD1L1,protein_coding
ENSG00000002834,0.162318797,6.315387493,0.101126947,0.750481422,0.863497275,LASP1,protein_coding
ENSG00000002919,0.334708656,4.910878963,0.621456833,0.430506432,0.636799374,SNX11,protein_coding
ENSG00000002933,-0.981641882,3.720858507,1.584435972,0.208122883,0.418299655,TMEM176A,protein_coding
ENSG00000003056,0.410838081,5.497348136,0.708977108,0.399783596,0.610514696,M6PR,protein_coding
ENSG00000003096,-2.489373095,3.731537261,13.63780504,0.000221676,0.0035359,KLHL13,protein_coding
ENSG00000003137,0.881834462,1.598921164,0.803040528,0.370185854,0.584891367,CYP26B1,protein_coding
ENSG00000003147,0.076665745,4.195837941,0.00709354,0.932879007,0.968591257,ICA1,protein_coding
ENSG00000003249,3.276727268,3.299944155,8.986001414,0.002720557,0.026007476,DBNDD1,protein_coding
ENSG00000003393,0.223817131,4.256712655,0.205453139,0.650354772,0.799713228,ALS2,protein_coding
ENSG00000003400,0.843662262,4.660216015,0.979278346,0.322377036,0.538544244,CASP10,protein_coding
ENSG00000003402,-0.083559649,6.563727465,0.02321716,0.878893713,0.940444989,CFLAR,protein_coding
ENSG00000003436,-1.938488213,4.117132586,5.620195563,0.017754668,0.099166236,TFPI,protein_coding
ENSG00000003509,0.352095869,3.486891987,0.571907619,0.449501874,0.651899605,NDUFAF7,protein_coding
ENSG00000003756,-0.541101521,5.58730349,1.778192569,0.182371425,0.390507481,RBM5,protein_coding
ENSG00000003987,-0.589921889,-0.04878022,1.120206861,0.289873916,0.505270789,MTMR7,protein_coding
ENSG00000003989,-0.728390048,5.326873747,0.279686517,0.596906758,0.764574682,SLC7A2,protein_coding
ENSG00000004059,-0.037819084,5.346616237,0.007483,0.931065511,0.96782348,ARF5,protein_coding
ENSG00000004139,-1.162059538,0.655072762,3.791806156,0.051504044,0.194177254,SARM1,protein_coding
ENSG00000004142,0.357600555,6.341703825,0.782917821,0.376250249,0.59007439,POLDIP2,protein_coding
ENSG00000004399,-1.765226547,5.066030058,14.42427193,0.00014591,0.002458716,PLXND1,protein_coding
ENSG00000004455,0.960464467,7.883538301,4.369378715,0.03659033,0.156503816,AK2,protein_coding
ENSG00000004468,2.77077301,3.303812941,5.087700973,0.024096115,0.121175532,CD38,protein_coding
ENSG00000004478,1.433150183,6.887974374,7.504450737,0.006154671,0.046943102,FKBP4,protein_coding
ENSG00000004487,0.943109939,6.955693431,3.493198081,0.061621434,0.215645073,KDM1A,protein_coding
ENSG00000004534,-0.195511512,6.878827387,0.160630232,0.688576939,0.823865176,RBM6,protein_coding
ENSG00000004660,-1.093249567,3.094032194,3.800418905,0.051239762,0.193608109,CAMKK1,protein_coding
ENSG00000004700,0.890196795,4.152586998,2.060188621,0.151191454,0.353775084,RECQL,protein_coding
ENSG00000004766,0.482698671,7.036504872,1.208502739,0.271628853,0.486426491,VPS50,protein_coding
ENSG00000004776,-5.864799426,1.56056162,63.4446139,1.64939774790474e-15,6.03856296920412e-13,HSPB6,protein_coding
ENSG00000004777,1.119489782,3.097829132,1.790215715,0.180899882,0.388582709,ARHGAP33,protein_coding
ENSG00000004779,0.598595295,6.094257577,1.247410564,0.264047622,0.478845178,NDUFAB1,protein_coding
ENSG00000004799,-3.991365966,6.842603435,24.11348833,9.08219054107164e-07,3.05250935201722e-05,PDK4,protein_coding
ENSG00000004809,-1.877811729,-0.817891958,3.017574908,0.08236655,0.253987617,SLC22A16,protein_coding
ENSG00000004838,1.956282589,0.989743236,1.790844099,0.180823352,0.388572464,ZMYND10,protein_coding
ENSG00000004846,-2.403482222,-2.594183981,3.475542595,0.062282293,0.216782829,ABCB5,protein_coding
ENSG00000004848,4.344943635,-2.709404044,1.977915858,0.159610139,0.363807486,ARX,protein_coding
ENSG00000004864,1.19562982,5.096518139,4.823321895,0.028077184,0.133476217,SLC25A13,protein_coding
ENSG00000004866,-0.066247578,4.658193099,0.020122028,0.887196802,0.945557139,ST7,protein_coding
ENSG00000004897,0.030504467,5.540103491,0.005929061,0.938623228,0.971803526,CDC27,protein_coding
