"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0134622108924052,2,7,112.714285714286,"GO:0002752 cell surface pattern recognition receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0002752"," COLEC10  FFAR2"
0.00333489976813973,3,17,69.6176470588235,"GO:0034374 low-density lipoprotein particle remodeling "," http://amigo.geneontology.org/amigo/term/GO:0034374"," MPO  APOB  PLA2G2A"
0.0131278470185689,3,37,31.9864864864865,"GO:0034368 protein-lipid complex remodeling "," http://amigo.geneontology.org/amigo/term/GO:0034368"," MPO  APOB  PLA2G2A"
0.0131278470185689,3,37,31.9864864864865,"GO:0034369 plasma lipoprotein particle remodeling "," http://amigo.geneontology.org/amigo/term/GO:0034369"," MPO  APOB  PLA2G2A"
0.0134622108924052,3,39,30.3461538461538,"GO:0034367 protein-containing complex remodeling "," http://amigo.geneontology.org/amigo/term/GO:0034367"," MPO  APOB  PLA2G2A"
0.0221593578362226,3,47,25.1808510638298,"GO:0046189 phenol-containing compound biosynthetic proc. "," http://amigo.geneontology.org/amigo/term/GO:0046189"," TYRP1  CITED1  HDC"
0.0269199206303555,3,53,22.3301886792453,"GO:0071827 plasma lipoprotein particle organization "," http://amigo.geneontology.org/amigo/term/GO:0071827"," APOB  MPO  PLA2G2A"
0.000566604253637426,6,117,20.2307692307692,"GO:0007218 neuropeptide signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007218"," GAL  HCRTR1  SSTR4  CMKLR2  NPSR1  ECEL1"
0.0131278470185689,4,94,16.7872340425532,"GO:1905954 positive reg. of lipid localization "," http://amigo.geneontology.org/amigo/term/GO:1905954"," GAL  APOB  FASLG  SSTR4"
0.000566604253637426,9,400,8.87625,"GO:0002237 response to molecule of bacterial origin "," http://amigo.geneontology.org/amigo/term/GO:0002237"," S100A14  SELP  ANKRD1  MPO  APOB  FASLG  GPR31  CITED1  SELE"
0.00209081651551165,8,376,8.3936170212766,"GO:0032496 response to lipopolysaccharide "," http://amigo.geneontology.org/amigo/term/GO:0032496"," S100A14  SELP  ANKRD1  MPO  APOB  FASLG  CITED1  SELE"
0.0260518242102592,7,508,5.43602362204724,"GO:0055074 calcium ion homeostasis "," http://amigo.geneontology.org/amigo/term/GO:0055074"," TRPC7  CCR9  NPSR1  FASLG  HCRTR1  TFAP2B  S100A14"
0.00588980992844522,10,772,5.11010362694301,"GO:0009617 response to bacterium "," http://amigo.geneontology.org/amigo/term/GO:0009617"," MPO  S100A14  SELP  ANKRD1  APOB  FASLG  GPR31  CITED1  PLA2G2A  SELE"
0.00209081651551165,12,980,4.83061224489796,"GO:0033993 response to lipid "," http://amigo.geneontology.org/amigo/term/GO:0033993"," SSTR4  S100A14  SELP  FFAR2  ANKRD1  MPO  APOB  FASLG  CITED1  TRIM63  WNT2  SELE"
0.0131278470185689,14,1728,3.19618055555556,"GO:0051707 response to other organism "," http://amigo.geneontology.org/amigo/term/GO:0051707"," MPO  BLK  S100A14  SELP  COLEC10  ANKRD1  APOB  FASLG  GPR31  CITED1  SMPDL3B  PLA2G2A  FFAR2  SELE"
0.0131278470185689,14,1731,3.19064124783362,"GO:0043207 response to external biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0043207"," MPO  BLK  S100A14  SELP  COLEC10  ANKRD1  APOB  FASLG  GPR31  CITED1  SMPDL3B  PLA2G2A  FFAR2  SELE"
0.0131278470185689,15,1917,3.0868544600939,"GO:0044419 biological proc. involved in interspecies interaction between organis"," http://amigo.geneontology.org/amigo/term/GO:0044419"," MPO  BLK  S100A14  SELP  COLEC10  ANKRD1  APOB  FASLG  GPR31  CITED1  SMPDL3B  NECTIN4  PLA2G2A  FFAR2  SELE"
0.0269199206303555,13,1735,2.95590778097983,"GO:0002682 reg. of immune system proc. "," http://amigo.geneontology.org/amigo/term/GO:0002682"," BLK  IGF2  GCSAM  S100A14  COLEC10  PLA2G2A  GAL  GPR31  FFAR2  SMPDL3B  SELP  SELE  CD70"
0.0131278470185689,20,3269,2.41358213520954,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," SELE  SSTR4  IGF2  SELP  S100A14  TGFBR3L  CITED1  FFAR2  ANKRD1  AKR1B10  MPO  TFAP2B  GAL  APOB  FASLG  GPR31  CD70  TRIM63  CCR9  WNT2"
